"feature","feature_label","pvalue_source","pvalue_name","p.value","p.adj","p.adj.signif","p_text","n","n_patient","test_type"
"Dekkera_bruxellensis","Dekkera_bruxellensis","pairwise_slope","UC_slope_vs_nonIBD",0.0718533945945291,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.0719, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Fusarium_graminearum","Fusarium_graminearum","pairwise_slope","CD_slope_vs_nonIBD",0.148135695256897,0.19751426034253,"ns","CD_slope_vs_nonIBD: p=0.148, FDR=0.198 ns",275,21,"LMM_pairwise_slope"
"Fusarium_graminearum","Fusarium_graminearum","pairwise_slope","UC_slope_vs_nonIBD",0.219977835663185,0.263973402795821,"ns","UC_slope_vs_nonIBD: p=0.22, FDR=0.264 ns",275,21,"LMM_pairwise_slope"
"Fusarium_poae","Fusarium_poae","pairwise_slope","CD_slope_vs_nonIBD",0.0537539002734156,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0538, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Fusarium_poae","Fusarium_poae","pairwise_slope","UC_slope_vs_nonIBD",0.0436878137632175,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.0437, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Holleya_sinecauda","Holleya_sinecauda","pairwise_slope","CD_slope_vs_nonIBD",0.0718537900921163,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0719, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Holleya_sinecauda","Holleya_sinecauda","pairwise_slope","UC_slope_vs_nonIBD",0.0445711744316259,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.0446, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Issatchenkia_orientalis","Issatchenkia_orientalis","pairwise_slope","CD_slope_vs_nonIBD",0.694933862864846,0.758109668579832,"ns","CD_slope_vs_nonIBD: p=0.695, FDR=0.758 ns",275,21,"LMM_pairwise_slope"
"Issatchenkia_orientalis","Issatchenkia_orientalis","pairwise_slope","UC_slope_vs_nonIBD",0.812720428292996,0.812720428292996,"ns","UC_slope_vs_nonIBD: p=0.813, FDR=0.813 ns",275,21,"LMM_pairwise_slope"
"Kluyveromyces_lactis","Kluyveromyces_lactis","pairwise_slope","CD_slope_vs_nonIBD",0.063683426281905,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0637, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Kluyveromyces_lactis","Kluyveromyces_lactis","pairwise_slope","UC_slope_vs_nonIBD",0.0453439979643511,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.0453, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Kluyveromyces_marxianus","Kluyveromyces_marxianus","pairwise_slope","CD_slope_vs_nonIBD",0.155279309989964,0.199644827129954,"ns","CD_slope_vs_nonIBD: p=0.155, FDR=0.2 ns",275,21,"LMM_pairwise_slope"
"Kluyveromyces_marxianus","Kluyveromyces_marxianus","pairwise_slope","UC_slope_vs_nonIBD",0.0324221941003611,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.0324, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Lodderomyces_elongisporus","Lodderomyces_elongisporus","pairwise_slope","CD_slope_vs_nonIBD",0.0376958527374823,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0377, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Lodderomyces_elongisporus","Lodderomyces_elongisporus","pairwise_slope","UC_slope_vs_nonIBD",0.106439229583364,0.153272490600044,"ns","UC_slope_vs_nonIBD: p=0.106, FDR=0.153 ns",275,21,"LMM_pairwise_slope"
"Malassezia_restricta","Malassezia_restricta","pairwise_slope","CD_slope_vs_nonIBD",0.0364223516984835,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0364, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Malassezia_restricta","Malassezia_restricta","pairwise_slope","UC_slope_vs_nonIBD",0.58321356636422,0.677280270616514,"ns","UC_slope_vs_nonIBD: p=0.583, FDR=0.677 ns",275,21,"LMM_pairwise_slope"
"Saccharomyces_cerevisiae","Saccharomyces_cerevisiae","pairwise_slope","CD_slope_vs_nonIBD",0.00180779190819226,0.0650805086949215,"ns","CD_slope_vs_nonIBD: p=0.00181, FDR=0.0651 ns",275,21,"LMM_pairwise_slope"
"Saccharomyces_cerevisiae","Saccharomyces_cerevisiae","pairwise_slope","UC_slope_vs_nonIBD",0.072198103583098,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.0722, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Thanatephorus_cucumeris","Thanatephorus_cucumeris","pairwise_slope","CD_slope_vs_nonIBD",0.0520104154255924,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.052, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Thanatephorus_cucumeris","Thanatephorus_cucumeris","pairwise_slope","UC_slope_vs_nonIBD",0.0400171465182781,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.04, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Torulaspora_delbrueckii","Torulaspora_delbrueckii","pairwise_slope","CD_slope_vs_nonIBD",0.0556386146633739,0.118142351317797,"ns","CD_slope_vs_nonIBD: p=0.0556, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Torulaspora_delbrueckii","Torulaspora_delbrueckii","pairwise_slope","UC_slope_vs_nonIBD",0.0593993414482198,0.118142351317797,"ns","UC_slope_vs_nonIBD: p=0.0594, FDR=0.118 ns",275,21,"LMM_pairwise_slope"
"Zygosaccharomyces_rouxii","Zygosaccharomyces_rouxii","pairwise_slope","CD_slope_vs_nonIBD",0.163600137263907,0.203089825568988,"ns","CD_slope_vs_nonIBD: p=0.164, FDR=0.203 ns",275,21,"LMM_pairwise_slope"
